WKT,ID,NATURE,TOPONYME
"MULTIPOINT ((5.52297579898728 44.8988175551507))",PAIOROGR0000000007456739,Sommet,Roche Rousse
"MULTIPOINT ((5.87765756909989 45.3348627647146))",PAIOROGR0000000007454210,Col,Pas de Montbrun
"MULTIPOINT ((5.49315286499953 45.0430234610873))",PAIOROGR0000000007455793,Gouffre,Scialet de Malaterre
"MULTIPOINT ((5.49293352870031 45.0467425129627))",PAIOROGR0000002209679440,Col,Col de Malaterre
"MULTIPOINT ((5.52660374849514 44.8697039416405))",PAIOROGR0000000007456959,Sommet,le Grand Veymont
"MULTIPOINT ((5.52254897785876 44.8812066048778))",PAIOROGR0000000007456862,Col,Pas de la Ville
"MULTIPOINT ((5.54499105215234 44.9606558666953))",PAIOROGR0000000007456317,Versant,les Charreyres
"MULTIPOINT ((5.58391274652758 45.0150182558322))",PAIOROGR0000000007455893,Col,Pas de l'Œille
"MULTIPOINT ((5.5771792926545 45.0037425238911))",PAIOROGR0000000007455991,Col,Col des Deux Sœurs
"MULTIPOINT ((5.56696199210035 44.8818209055241))",PAIOROGR0000000007456853,Col,Col de l'Allimas
"MULTIPOINT ((6.35607852464141 44.916568621434))",PAIOROGR0000000075590096,Sommet,le Fifre
