WKT,ID,HAUTEUR
"MULTIPOINT ((6.07181167545415 45.0870443252947))",PYLONE__0000000269643558,13.1
"MULTIPOINT ((5.87249370396103 45.0719880806004))",PYLONE__0000000269643568,36.7
"MULTIPOINT ((5.85445311526335 45.0795299672887))",PYLONE__0000000269643570,55.8
"MULTIPOINT ((5.85840577475412 45.0791123727095))",PYLONE__0000000269643571,51.1
"MULTIPOINT ((5.86335352677924 45.0788078155544))",PYLONE__0000000269643572,63.8
"MULTIPOINT ((5.87830115985966 45.0804705627562))",PYLONE__0000000269643573,61.5
"MULTIPOINT ((5.8950077431742 45.0810107417571))",PYLONE__0000000269643574,47.4
"MULTIPOINT ((5.87383189760087 45.0742754110022))",PYLONE__0000000269643576,31.7
"MULTIPOINT ((5.85132182957918 45.0702940225196))",PYLONE__0000000269643577,27.5
"MULTIPOINT ((5.90045026224815 45.0878411338954))",PYLONE__0000000269643588,25.7
"MULTIPOINT ((5.90528869048147 45.0853958852521))",PYLONE__0000000269643591,40.5
"MULTIPOINT ((5.90821808605807 45.0875052981646))",PYLONE__0000000269643592,53.5
"MULTIPOINT ((5.92446248103992 45.0995366233566))",PYLONE__0000000269643593,69.1
"MULTIPOINT ((5.9284184544262 45.1013969567761))",PYLONE__0000000269643594,69.1
"MULTIPOINT ((5.93647402779802 45.1055837754697))",PYLONE__0000000269643595,71.5
"MULTIPOINT ((6.09201242591775 45.0368413881379))",PYLONE__0000000269643612,23
"MULTIPOINT ((6.10831064417038 45.0439466347681))",PYLONE__0000000269643613,28.2
"MULTIPOINT ((6.13845833296761 45.0488407651287))",PYLONE__0000000269643615,28.2
"MULTIPOINT ((5.9132903603218 44.8689189703973))",PYLONE__0000000269643619,35.7
"MULTIPOINT ((5.91460371379025 44.8755704685322))",PYLONE__0000000269643620,34.6
"MULTIPOINT ((5.91511912071616 44.8779796034611))",PYLONE__0000000269643621,33
"MULTIPOINT ((5.9155895156747 44.8804971350415))",PYLONE__0000000269643622,34.6
"MULTIPOINT ((5.91602479507857 44.8826795329227))",PYLONE__0000000269643623,34.6
"MULTIPOINT ((5.93237658883655 44.8971868399749))",PYLONE__0000000269643624,27
"MULTIPOINT ((5.93619941726918 44.8994103263027))",PYLONE__0000000269643625,33
"MULTIPOINT ((5.94235813195667 44.9032620524856))",PYLONE__0000000269643626,35.7
"MULTIPOINT ((5.97079024028301 44.9276841675229))",PYLONE__0000000269643629,27
"MULTIPOINT ((5.97337759654273 44.9304107394994))",PYLONE__0000000269643630,28.6
"MULTIPOINT ((5.98878754637287 44.9416733756287))",PYLONE__0000000269643631,27
"MULTIPOINT ((5.99576439202789 44.9431803095371))",PYLONE__0000000269643632,21
"MULTIPOINT ((5.99967438455438 44.9440326118703))",PYLONE__0000000269643633,28.6
"MULTIPOINT ((6.00815489295465 44.9458865261702))",PYLONE__0000000269643634,41.6
"MULTIPOINT ((6.02799225099299 44.9524478712358))",PYLONE__0000000269643635,35.7
"MULTIPOINT ((6.04646680813278 44.9594603532549))",PYLONE__0000000269643636,35.7
"MULTIPOINT ((6.05668881842994 44.9636407848446))",PYLONE__0000000269643637,34.6
"MULTIPOINT ((6.05958802582436 44.9740843105606))",PYLONE__0000000269643640,34.6
