WKT,geo_point_
"MULTILINESTRING ((5.67296638787197 44.9479283212359,5.6730306487122 44.9481209977734,5.67289281322999 44.9483501090482))","(2:44.9481445102,5.67297761211)"
"MULTILINESTRING ((5.66989835312865 44.945767562104,5.67369117322617 44.9437509616482))","(2:44.9447592619,5.67179476318)"
"MULTILINESTRING ((5.70144951971127 44.9608070830002,5.70378793798587 44.9610021354412))","(2:44.9609046092,5.70261872885)"
"MULTILINESTRING ((5.67940410050648 44.9505266573365,5.67985307228662 44.9497419216596,5.67986033794018 44.9497294581741))","(2:44.9501280289,5.67963216932)"
"MULTILINESTRING ((5.41674933294976 45.1913507842669,5.41696083181254 45.191598807272))","(2:45.1914747958,5.41685508238)"
"MULTILINESTRING ((5.40725039753986 45.1827985250124,5.40771853070443 45.1829842485487))","(2:45.1828913868,5.40748446412)"
"MULTILINESTRING ((5.33460579049944 45.1232165663951,5.33504483102505 45.1235923981982))","(2:45.1234044823,5.33482531076)"
"MULTILINESTRING ((6.16407712343917 45.0707805954314,6.16314490359165 45.0706383749092,6.161296158414 45.0705915178683))","(2:45.0706468732,6.16269011249)"
"MULTILINESTRING ((6.161296158414 45.0705915178683,6.16140089761679 45.0710727565055))","(2:45.0708321372,6.16134852802)"
"MULTILINESTRING ((6.161296158414 45.0705915178683,6.15959081545374 45.0703777517833))","(2:45.0704846348,6.16044348693)"
"MULTILINESTRING ((6.0369740032161 45.063080410256,6.03542418840132 45.0643340322265,6.0375216188876 45.065661486614))","(2:45.0644229699,6.03635095306)"
"MULTILINESTRING ((6.03715132010508 45.0541577973287,6.03823051163523 45.0545213561314))","(2:45.0543395767,6.03769091587)"
"MULTILINESTRING ((6.05082797180556 45.0444632850301,6.05056730408968 45.044591628507,6.04904998627904 45.04559899005))","(2:45.0450171825,6.04993095541)"
"MULTILINESTRING ((6.04773474080715 45.0464395410817,6.04732391838244 45.0460340760711,6.04727395121333 45.0456864505458))","(2:45.0460943698,6.04744217631)"
"MULTILINESTRING ((6.04659803489742 45.0429337233658,6.04258847125643 45.042725136843))","(2:45.0428294301,6.04459325308)"
"MULTILINESTRING ((6.04052588126896 45.0427226691682,6.03961099865136 45.0415337222192))","(2:45.0421281957,6.04006843996)"
"MULTILINESTRING ((6.03961099865136 45.0415337222192,6.03917688784404 45.0409129151112))","(2:45.0412233187,6.03939394325)"
"MULTILINESTRING ((6.03148687557905 45.0614553714909,6.03211010634507 45.0612943123555))","(2:45.0613748419,6.03179849096)"
"MULTILINESTRING ((6.0375216188876 45.065661486614,6.03758118289775 45.0653983856478))","(2:45.0655299361,6.03755140089)"
"MULTILINESTRING ((6.03850387523057 45.0659183985135,6.03882676195895 45.065799120774))","(2:45.0658587596,6.03866531859)"
"MULTILINESTRING ((6.07075527106951 45.0025052356305,6.07145884594085 45.0005960112477,6.07397111911284 44.9987676519306,6.07483075398958 44.9967673170845,6.0754793771831 44.9966816044232))","(2:44.9993933265,6.07296524692)"
"MULTILINESTRING ((6.03889128216147 45.0414035624249,6.03613627141765 45.0408191288985,6.03488255539552 45.0403383775288))","(2:45.0409394005,6.03686667682)"
"MULTILINESTRING ((5.78570034816047 45.1100474776304,5.7867763389153 45.1101776437714))","(2:45.1101125607,5.78623834354)"
"MULTILINESTRING ((5.78080461899208 45.0943127770969,5.78018578609456 45.0935335549275,5.78025229361768 45.0794750528418))","(2:45.0869946945,5.78023729435)"
"MULTILINESTRING ((5.780193083338 45.1233158022772,5.78052738289044 45.1235134039109))","(2:45.1234146031,5.78036023311)"
"MULTILINESTRING ((5.76610693464594 45.1282521182786,5.76705356687718 45.127476727055))","(2:45.1278644227,5.76658025076)"
"MULTILINESTRING ((5.76610693464594 45.1282521182786,5.76663480485335 45.1288096905047))","(2:45.1285309044,5.76637086975)"
"MULTILINESTRING ((5.77721809565199 45.1102458599777,5.78159137544045 45.1098809840499))","(2:45.110063422,5.77940473555)"
"MULTILINESTRING ((5.77312092228238 45.1105311198013,5.76124649017781 45.1113569907492))","(2:45.1109440553,5.76718370623)"
"MULTILINESTRING ((5.76705356687718 45.127476727055,5.76964991667846 45.1262633384261))","(2:45.1268700327,5.76835174178)"
"MULTILINESTRING ((5.93980675613958 45.2787034654277,5.93884721276005 45.277787164547,5.93873062941569 45.2773675026401,5.93818915852354 45.2769250345876))","(2:45.2778149168,5.93898546555)"
"MULTILINESTRING ((5.95458545031531 45.2875625839722,5.95249955199313 45.2883327753196))","(2:45.2879476796,5.95354250115)"
"MULTILINESTRING ((5.72977409434748 45.0799476535575,5.72966103639046 45.0799594145296,5.7291193073141 45.0801456265917,5.72839234626997 45.0802391111038,5.7284320572451 45.0809300006448,5.72841240354886 45.0810349982079,5.7281716282651 45.0814145074134))","(2:45.0804594659,5.72875238044)"
"MULTILINESTRING ((5.72734832904701 45.0832158557669,5.7269079112473 45.0822676419092))","(2:45.0827417488,5.72712812015)"
"MULTILINESTRING ((5.7269079112473 45.0822676419092,5.72722163342617 45.0819793172075))","(2:45.0821234796,5.72706477234)"
"MULTILINESTRING ((5.71627081156174 45.0575243328399,5.7175911653823 45.0580105059555))","(2:45.0577674194,5.71693098847)"
"MULTILINESTRING ((5.59453715840072 44.9904010164266,5.5947140713244 44.9900935468859))","(2:44.9902472817,5.59462561486)"
"MULTILINESTRING ((5.57667487186654 44.9758652946787,5.5794436347459 44.9776023161826))","(2:44.9767338054,5.57805925331)"
"MULTILINESTRING ((5.58552563477313 44.9832630464526,5.58383083065159 44.9816283457418,5.58221402338635 44.9800688657143))","(2:44.9816659574,5.58386982778)"
"MULTILINESTRING ((5.56929053999378 44.9581340246442,5.56981255789663 44.9570832970243))","(2:44.9576086608,5.56955154895)"
"MULTILINESTRING ((5.55976384650828 44.970897827551,5.5590740934723 44.9708580934705,5.55619761387395 44.9699621941552,5.55535093137353 44.9698241056044))","(2:44.970383771,5.55755582702)"
"MULTILINESTRING ((5.58003166831443 44.9771049460884,5.58035313788769 44.9767910062354))","(2:44.9769479762,5.5801924031)"
