WKT,id,nom,type
"MULTIPOINT ((5.50971 44.88854))",1702,Fontaine de la Chau,point d'eau
"MULTIPOINT ((5.75074 44.71042))",4793,Point d'eau de la baraque de Paille,point d'eau
"MULTIPOINT ((5.93915 45.45283))",4811,source de Puf,point d'eau
"MULTIPOINT ((5.4714 44.83433))",4824,Fontaine de la Plante,point d'eau
"MULTIPOINT ((5.572 44.997))",1965,Fontaine des Sarrazins,point d'eau
"MULTIPOINT ((5.51373 44.80485))",1967,Source Chevalière,point d'eau
"MULTIPOINT ((5.92823 45.45217))",1969,Fontaine Neuve,point d'eau
"MULTIPOINT ((5.92263 45.44088))",1968,Fontaine de l'Alpette,point d'eau
"MULTIPOINT ((5.92142 45.42618))",1975,Source de la Vieille,point d'eau
"MULTIPOINT ((5.60527503490448 45.0868729657325))",1966,Source de Font Froide,point d'eau
"MULTIPOINT ((5.7935 44.8188))",2288,Fontaine de Baret,point d'eau
"MULTIPOINT ((5.72208791971207 45.2381591611323))",6040,Fontaine de Chores,point d'eau
"MULTIPOINT ((5.77957 45.28579))",2379,Source du Bachasson,point d'eau
"MULTIPOINT ((5.56595 45.24007))",2420,Source de la Clé,point d'eau
"MULTIPOINT ((5.92421 45.44295))",2632,Deuxième source de l'alpette,point d'eau
"MULTIPOINT ((5.6141 45.0788))",2602,Fontaine des Crocs,point d'eau
"MULTIPOINT ((5.61447 45.07901))",2683,Source du col de l'arc,point d'eau
"MULTIPOINT ((5.7818 45.2793))",2724,Source de la Loux,point d'eau
"MULTIPOINT ((5.5411 44.866))",2747,Ruisseau des Chalanches,point d'eau
"MULTIPOINT ((5.88604 45.3565))",2823,Source de l'Aulp du seuil,point d'eau
"MULTIPOINT ((5.5237 44.9136))",2790,Fontaine de Berrièves,point d'eau
"MULTIPOINT ((5.92393 45.42854))",3217,Fontaine du Bénitier,point d'eau
"MULTIPOINT ((5.614655 44.755536))",3262,Source de la Freidière,point d'eau
"MULTIPOINT ((6.18284 45.04355))",3298,Fontaine du refuge des Clos,point d'eau
"MULTIPOINT ((5.79249 45.33079))",3276,Fontaine de Frettevieille,point d'eau
"MULTIPOINT ((5.79928 45.39988))",3863,Fontaine - Ruisseau du Bruyant,point d'eau
"MULTIPOINT ((5.43483 45.13094))",3646,Fontaine de Patente,point d'eau
"MULTIPOINT ((5.4823 44.8257))",1182,Fontaine des Endettés,point d'eau
"MULTIPOINT ((5.87192 45.34077))",2779,Fontaine de la cabane de Bellefont,point d'eau
"MULTIPOINT ((5.87725 44.78398))",3250,Source des Baumes,point d'eau
"MULTIPOINT ((5.8866 45.1525))",2753,Fontaine de la Gâte (ou de la Gaffe),point d'eau
"MULTIPOINT ((5.5081 45.0))",1832,Puits des Ravières,point d'eau
"MULTIPOINT ((5.91626 45.41636))",3002,Source de l'Alpe,point d'eau
"MULTIPOINT ((5.55544 45.01136))",3031,Fontaine de l'Ours,point d'eau
"MULTIPOINT ((5.97156 45.21397))",3860,Captage-abreuvoir des Jarlons,point d'eau
"MULTIPOINT ((5.40562 45.12789))",3063,Fontaine des Charmettes,point d'eau
"MULTIPOINT ((5.40698 45.14405))",3064,Fontaine du Mede,point d'eau
"MULTIPOINT ((5.43842 45.07445))",3666,Réservoir de la Goulandière,point d'eau
"MULTIPOINT ((5.5407 44.7734))",3679,Source du Marichaume,point d'eau
"MULTIPOINT ((5.60782 44.76268))",3723,Source du Fanjat,point d'eau
"MULTIPOINT ((5.63236 45.03319))",3732,Fontaine de l'Echaillon,point d'eau
"MULTIPOINT ((5.70742 45.32287))",3832,Source d'Hurtières (captage),point d'eau
"MULTIPOINT ((5.77901 44.70309))",3850,Captage-abreuvoir de la Croix,point d'eau
"MULTIPOINT ((5.77289 44.70064))",3851,Captage-abreuvoir de l'ancienne carrière,point d'eau
"MULTIPOINT ((5.9086275100708 45.0739676297748))",2366,Passage sur le Rioupéroux,point d'eau
"MULTIPOINT ((5.53837 45.20207))",5570,Fontaine des éperières (Fontaine Scellier),point d'eau
