WKT,ID,CLASSE,NATURE,GRAPHIE
"MULTIPOINT ((6.09819381844125 45.3426855589581))",PAIHABIT0000000007541814,Zone d'habitation,Lieu-dit habité,le fenouillet
"MULTIPOINT ((6.35700265087335 44.8861615952366))",PAIOROGR0000000356412700,Détail orographique,Montagne,l'ailefroide
"MULTIPOINT ((6.35700265087335 44.8861615952366))",PAIOROGR0000000356412700,Détail orographique,Montagne,aile froide
"MULTIPOINT ((5.83120138007367 45.4164339581938))",PAIE_NAT0000000007448635,Lieu-dit non habité,Bois,noirfond
"MULTIPOINT ((5.70281145020175 45.335214533757))",PAIOROGR0000000007454231,Détail orographique,Montagne,grande sure
"MULTIPOINT ((6.10013411686159 45.24852395104))",PAIOROGR0000000007454516,Détail orographique,Col,col de mouchillon
"MULTIPOINT ((6.01276090957901 45.314294114826))",PAIHABIT0000000007542481,Zone d'habitation,Lieu-dit habité,le david
"MULTIPOINT ((5.38288265947882 45.0405521772681))",PAIHABIT0000000007547439,Zone d'habitation,Lieu-dit habité,les saffrières
"MULTIPOINT ((5.63135190238576 44.9930576716914))",PAIOROGR0000000007456106,Détail orographique,Versant,galouvière
"MULTIPOINT ((5.74784349705962 44.9622045389315))",PAIHABIT0000000007547659,Zone d'habitation,Lieu-dit habité,les georges
"MULTIPOINT ((5.58779046784558 44.9880663467053))",PAIHABIT0000000322630410,Zone d'habitation,Quartier,edelweiss
"MULTIPOINT ((5.58779046784558 44.9880663467053))",PAIHABIT0000000322630410,Zone d'habitation,Quartier,les edelweiss
"MULTIPOINT ((5.58779046784558 44.9880663467053))",PAIHABIT0000000322630410,Zone d'habitation,Quartier,res les edelweiss
"MULTIPOINT ((5.6651400025014 44.7894899212449))",PAIHABIT0000002207193515,Zone d'habitation,Lieu-dit habité,goutaret
"MULTIPOINT ((5.86612593016253 45.2735362104385))",PAIHABIT0000000007543583,Zone d'habitation,Quartier,lotissement brondière
"MULTIPOINT ((5.66339898608119 44.914773789108))",PAIOROGR0000000007456623,Détail orographique,Versant,beaucourdon
"MULTIPOINT ((5.95299295702839 45.2546847871247))",PAIHABIT0000000007543829,Zone d'habitation,Lieu-dit habité,le carnival
"MULTIPOINT ((5.95299295702839 45.2546847871247))",PAIHABIT0000000007543829,Zone d'habitation,Lieu-dit habité,au carnival
"MULTIPOINT ((5.65484065484609 45.0778834404879))",PAIHABIT0000000007546828,Zone d'habitation,Lieu-dit habité,les gauthiers
"MULTIPOINT ((5.65094381553157 45.0756654251592))",PAIHABIT0000000229590610,Zone d'habitation,Lieu-dit habité,navizelle
"MULTIPOINT ((5.7960799622449 45.421589253226))",PAIOROGR0000000007453832,Détail orographique,Pic,pointe du frou
"MULTIPOINT ((5.59980265148215 44.8132249090349))",PAIOROGR0000000007457237,Détail orographique,Sommet,sommet de charbonnier
"MULTIPOINT ((5.54462988058447 45.2784283313761))",PAIHABIT0000000007543671,Zone d'habitation,Lieu-dit habité,saint-quentin-sur-isère
"MULTIPOINT ((5.88337072728032 44.8095901305211))",PAIE_NAT0000000007452835,Lieu-dit non habité,Lieu-dit non habité,chazal
"MULTIPOINT ((5.64368930025744 44.7471843097292))",PAIOROGR0000000007457461,Détail orographique,Crête,pré maille
"MULTIPOINT ((5.79590742092507 44.7955000645697))",PAIHABIT0000000007548413,Zone d'habitation,Lieu-dit habité,longueville
"MULTIPOINT ((5.95475111721981 45.247828999971))",PAIHABIT0000000007544058,Zone d'habitation,Lieu-dit habité,le taillat
"MULTIPOINT ((5.95475111721981 45.247828999971))",PAIHABIT0000000007544058,Zone d'habitation,Lieu-dit habité,mas de la taillat
"MULTIPOINT ((6.03630522328779 45.3619867598979))",PAIHABIT0000000007541528,Zone d'habitation,Lieu-dit habité,sailles le haut
"MULTIPOINT ((5.75293075689267 45.2220936406935))",PAIHABIT0000000007544630,Zone d'habitation,Lieu-dit habité,pelletière
"MULTIPOINT ((5.83966914693305 44.9530777024088))",PAIOROGR0000000007456298,Détail orographique,Rochers,rocher noir
"MULTIPOINT ((5.80879447711734 45.0550086086616))",PAIHABIT0000000007547027,Zone d'habitation,Lieu-dit habité,la rivoire
"MULTIPOINT ((6.1553821219111 45.1207516000914))",PAIE_NAT0000000007451025,Lieu-dit non habité,Lieu-dit non habité,le clos du bœuf
"MULTIPOINT ((5.69208608718754 45.1565891085397))",PAIHABIT0000000007545486,Zone d'habitation,Quartier,le bouchet
"MULTIPOINT ((5.82050714559536 44.9704617969342))",PAIHABIT0000000322794228,Zone d'habitation,Quartier,les crocus
"MULTIPOINT ((6.2234728423162 44.919607721018))",PAIOROGR0000000007456345,Détail orographique,Vallée,cros la rama
"MULTIPOINT ((5.34397943672662 45.1239200074172))",PAIHABIT0000000007546221,Zone d'habitation,Lieu-dit habité,le carra
"MULTIPOINT ((5.64591215301179 45.0553653326483))",PAIOROGR0000000007455602,Détail orographique,Rochers,rochers de brise-tourte
"MULTIPOINT ((5.83349879667208 45.1364320304034))",PAIHABIT0000000007545665,Zone d'habitation,Lieu-dit habité,le vacher
"MULTIPOINT ((5.62995234552686 45.0002562044732))",PAIHABIT0000000007547559,Zone d'habitation,Lieu-dit habité,saint-barthélemy
"MULTIPOINT ((5.99269377278311 44.8365549316268))",PAIOROGR0000000007456987,Détail orographique,Vallée,combe des gorges
"MULTIPOINT ((6.07586559371628 44.9370437009565))",PAIOROGR0000000007456271,Détail orographique,Sommet,pic du clapier du peyron
"MULTIPOINT ((5.85104217105612 45.036947090113))",PAIHABIT0000000007547232,Zone d'habitation,Lieu-dit habité,l'artet
"MULTIPOINT ((5.9930432919116 45.3712966950439))",PAIHABIT0000000007541195,Zone d'habitation,Quartier,résidence chartreuse
"MULTIPOINT ((6.05227350201853 45.3711278650487))",PAIHABIT0000000007541154,Zone d'habitation,Quartier,champ sappey
"MULTIPOINT ((5.54990576335577 45.023106743516))",PAIE_NAT0000000007451688,Lieu-dit non habité,Bois,forêt de villard
"MULTIPOINT ((5.67192511154056 45.2370470633797))",PAIHABIT0000000007544416,Zone d'habitation,Quartier,la gare
"MULTIPOINT ((5.70366111154823 45.0118038995513))",PAIHABIT0000000319006469,Zone d'habitation,Lieu-dit habité,plan de commiers
"MULTIPOINT ((5.6711639914064 45.2495568435495))",PAIHABIT0000000010358688,Zone d'habitation,Lieu-dit habité,hameau de meyretière
"MULTIPOINT ((6.1669741219176 45.3178606943095))",PAIOROGR0000000007454195,Détail orographique,Versant,montagne de l'aup du pont
"MULTIPOINT ((6.22723194383836 45.1409603701256))",PAIE_NAT0000000007450874,Lieu-dit non habité,Lieu-dit non habité,les prés nouveaux
"MULTIPOINT ((5.65506613767299 44.8877646587054))",PAIOROGR0000000007456837,Détail orographique,Sommet,côte rouge
"MULTIPOINT ((5.54540426155605 45.1948936259919))",PAIE_NAT0000000007450749,Lieu-dit non habité,Lieu-dit non habité,les épérières
"MULTIPOINT ((5.70129638007175 45.2720573748193))",PAIE_NAT0000000007450299,Lieu-dit non habité,Lieu-dit non habité,bréduire
